Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators
ref4095,cid4637973,Printed works,Books,"Benjamin, Judah P. Washington, DC, Senate speech on the acquisition of Cuba by J. P. Benjamin, a senator from Louisiana","Senate speech on the acquisition of Cuba by J. P. Benjamin, a senator from Louisiana","Benjamin, Judah P.",,,"Washington, DC",1859 February 11,Drawer,Mixed materials,Judah Benjamin,Folder,19,doc_jb_19_1r.tif; doc_jb_19_1v.tif; doc_jb_19_2r.tif; doc_jb_19_2v.tif; doc_jb_19_3r.tif; doc_jb_19_3v.tif; doc_jb_19_4r.tif; doc_jb_19_4v.tif; doc_jb_19_5r.tif; doc_jb_19_5v.tif; doc_jb_19_6r.tif; doc_jb_19_6v.tif
ref4096,cid4637972,Printed works,Books,"Benjamin, Judah P. Washington, DC, Speech of the Honorable J.P. Benjamin, of Louisiana, defending the national democracy against the attack of Judge Douglas and constitutional rights of the states.Delivered in the U.S. Senate, on May 22nd, 1860. First edition","Speech of the Honorable J.P. Benjamin, of Louisiana, defending the national democracy against the attack of Judge Douglas and constitutional rights of the states.Delivered in the U.S. Senate, on May 22nd, 1860. First edition","Benjamin, Judah P.",,,"Washington, DC",1860 May 22,Drawer,Mixed materials,Judah Benjamin,Folder,8,doc_jb_8_1r.tif; doc_jb_8_1v.tif; doc_jb_8_2r.tif; doc_jb_8_2v.tif; doc_jb_8_3r.tif; doc_jb_8_3v.tif; doc_jb_8_4r.tif; doc_jb_8_4v.tif; doc_jb_8_5r.tif; doc_jb_8_5v.tif; doc_jb_8_6r.tif; doc_jb_8_6v.tif; doc_jb_8_7r.tif; doc_jb_8_7v.tif; doc_jb_8_8r.tif; doc_jb_8_8v.tif; doc_jb_8_9r.tif; doc_jb_8_9v.tif; doc_jb_8_10r.tif; doc_jb_8_10v.tif; doc_jb_8_11r.tif.tif; doc_jb_8_11v.tif.tif; doc_jb_8_12r.tif.tif; doc_jb_8_12v.tif.tif
ref4097,cid4637971,Printed works,Books,"Benjamin, Judah P. Washington, DC, Speech of the Honorable J.P. Benjamin, of Louisiana, defending the national democracy against the attack of Judge Douglas and constitutional rights of the states.Delivered in the U.S. Senate, on May 22nd, 1860. First edition","Speech of the Honorable J.P. Benjamin, of Louisiana, defending the national democracy against the attack of Judge Douglas and constitutional rights of the states.Delivered in the U.S. Senate, on May 22nd, 1860. First edition","Benjamin, Judah P.",,,"Washington, DC",1860 May 22,Drawer,Mixed materials,Judah Benjamin,Folder,9,doc_jb_9_1r.tif; doc_jb_9_1v.tif; doc_jb_9_2r.tif; doc_jb_9_2v.tif; doc_jb_9_3r.tif; doc_jb_9_3v.tif; doc_jb_9_4r.tif; doc_jb_9_4v.tif; doc_jb_9_5r.tif; doc_jb_9_5v.tif; doc_jb_9_6r.tif; doc_jb_9_6v.tif; doc_jb_9_7r.tif; doc_jb_9_7v.tif; doc_jb_9_8r.tif; doc_jb_9_8v.tif; doc_jb_9_9r.tif; doc_jb_9_9v.tif; doc_jb_9_10r.tif; doc_jb_9_10v.tif; doc_jb_9_11r.tif.tif; doc_jb_9_11v.tif.tif; doc_jb_9_12r.tif.tif; doc_jb_9_12v.tif.tif
ref4098,cid4637970,Printed works,Books,"Benjamin, Judah P. Washington, DC, Speech of the Honorable J.P. Benjamin, of Louisiana, defending the national democracy against the attack of Judge Douglas and constitutional rights of the states.Delivered in the U.S. Senate, on May 22nd, 1860. Third of the Breckinridge and Lane campaign documents issued by Southern Democrats National Democratic Executive Committe","Speech of the Honorable J.P. Benjamin, of Louisiana, defending the national democracy against the attack of Judge Douglas and constitutional rights of the states.Delivered in the U.S. Senate, on May 22nd, 1860. Third of the Breckinridge and Lane campaign documents issued by Southern Democrats National Democratic Executive Committe","Benjamin, Judah P.",,,"Washington, DC",1860 May 22,Drawer,Mixed materials,Judah Benjamin,Folder,10,doc_jb_10_1r.tif; doc_jb_10_1v.tif; doc_jb_10_2r.tif; doc_jb_10_2v.tif; doc_jb_10_3r.tif; doc_jb_10_3v.tif; doc_jb_10_4r.tif; doc_jb_10_4v.tif; doc_jb_10_5r.tif; doc_jb_10_5v.tif; doc_jb_10_6r.tif; doc_jb_10_6v.tif; doc_jb_10_7r.tif; doc_jb_10_7v.tif; doc_jb_10_8r.tif; doc_jb_10_8v.tif; doc_jb_10_9r.tif; doc_jb_10_9v.tif; doc_jb_10_10r.tif; doc_jb_10_10v.tif; doc_jb_10_11r.tif.tif; doc_jb_10_11v.tif.tif; doc_jb_10_12r.tif.tif; doc_jb_10_12v.tif.tif; doc_jb_10_13r.tif.tif; doc_jb_10_13v.tif.tif; doc_jb_10_14r.tif.tif; doc_jb_10_14v.tif.tif; doc_jb_10_15r.tif.tif; doc_jb_10_15v.tif.tif; doc_jb_10_16r.tif.tif; doc_jb_10_16v.tif.tif
ref4099,cid4637969,Printed works,Books,"Benjamin, Judah P. Washington, DC, Speech of the Honorable J.P. Benjamin, of Louisiana, defending the national democracy against the attack of Judge Douglas and constitutional rights of the states.Delivered in the U.S. Senate, on May 22nd, 1860. Printed by Lemuel Towers","Speech of the Honorable J.P. Benjamin, of Louisiana, defending the national democracy against the attack of Judge Douglas and constitutional rights of the states.Delivered in the U.S. Senate, on May 22nd, 1860. Printed by Lemuel Towers","Benjamin, Judah P.",,,"Washington, DC",1860 May 22,Drawer,Mixed materials,Judah Benjamin,Folder,11,doc_jb_11_1r.tif; doc_jb_11_1v.tif; doc_jb_11_2r.tif; doc_jb_11_2v.tif; doc_jb_11_3r.tif; doc_jb_11_3v.tif; doc_jb_11_4r.tif; doc_jb_11_4v.tif; doc_jb_11_5r.tif; doc_jb_11_5v.tif; doc_jb_11_6r.tif; doc_jb_11_6v.tif; doc_jb_11_7r.tif; doc_jb_11_7v.tif; doc_jb_11_8r.tif; doc_jb_11_8v.tif; doc_jb_11_9r.tif; doc_jb_11_9v.tif; doc_jb_11_10r.tif; doc_jb_11_10v.tif; doc_jb_11_11r.tif.tif; doc_jb_11_11v.tif.tif; doc_jb_11_12r.tif.tif; doc_jb_11_12v.tif.tif
ref4100,cid4637968,Printed works,Books,"Benjamin, Judah P. Washington, DC, Speech of the Honorable J.P. Benjamin, of Louisiana, defending the national democracy against the attack of Judge Douglas and constitutional rights of the states.Delivered in the U.S. Senate, on May 22nd, 1860. First Edition","Speech of the Honorable J.P. Benjamin, of Louisiana, defending the national democracy against the attack of Judge Douglas and constitutional rights of the states.Delivered in the U.S. Senate, on May 22nd, 1860. First Edition","Benjamin, Judah P.",,,"Washington, DC",1860 May 22,Drawer,Mixed materials,Judah Benjamin,Folder,12,doc_jb_12_1r.tif; doc_jb_12_1v.tif; doc_jb_12_2r.tif; doc_jb_12_2v.tif; doc_jb_12_3r.tif; doc_jb_12_3v.tif; doc_jb_12_4r.tif; doc_jb_12_4v.tif; doc_jb_12_5r.tif; doc_jb_12_5v.tif; doc_jb_12_6r.tif; doc_jb_12_6v.tif; doc_jb_12_7r.tif; doc_jb_12_7v.tif; doc_jb_12_8r.tif; doc_jb_12_8v.tif; doc_jb_12_9r.tif; doc_jb_12_9v.tif; doc_jb_12_10r.tif; doc_jb_12_11r.tif.tif; doc_jb_12_11v.tif.tif; doc_jb_12_12r.tif.tif; doc_jb_12_12v.tif.tif; doc_jb_12_13r.tif.tif
ref4101,cid4637967,Printed works,Books,"Benjamin, Judah. Richmond, VA, Department of state correspondence in relation to the British consul's residence in the Confederate states. First Edition",Department of state correspondence in relation to the British consul's residence in the Confederate states. First Edition,"Benjamin, Judah",,,"Richmond, VA",1863 December 1,Drawer,Mixed materials,Judah Benjamin,Folder,25,doc_jb_25_1r.tif; doc_jb_25_1v.tif; doc_jb_25_2r.tif; doc_jb_25_2v.tif; doc_jb_25_3r.tif; doc_jb_25_3v.tif; doc_jb_25_4r.tif; doc_jb_25_4v.tif; doc_jb_25_5r.tif; doc_jb_25_5v.tif; doc_jb_25_6r.tif; doc_jb_25_6v.tif; doc_jb_25_7r.tif; doc_jb_25_7v.tif; doc_jb_25_8r.tif; doc_jb_25_8v.tif; doc_jb_25_9r.tif; doc_jb_25_9v.tif; doc_jb_25_10r.tif; doc_jb_25_10v.tif; doc_jb_25_11r.tif; doc_jb_25_11v.tif; doc_jb_25_12r.tif; doc_jb_25_12v.tif; doc_jb_25_13r.tif; doc_jb_25_13v.tif; doc_jb_25_14r.tif; doc_jb_25_14v.tif; doc_jb_25_15r.tif; doc_jb_25_15v.tif; doc_jb_25_16r.tif; doc_jb_25_16v.tif; doc_jb_25_17r.tif; doc_jb_25_17v.tif; doc_jb_25_18r.tif; doc_jb_25_18v.tif; doc_jb_25_19r.tif; doc_jb_25_19v.tif; doc_jb_25_20r.tif; doc_jb_25_20v.tif; doc_jb_25_21r.tif; doc_jb_25_21v.tif; doc_jb_25_22r.tif; doc_jb_25_22v.tif; doc_jb_25_23r.tif; doc_jb_25_23v.tif; doc_jb_25_24r.tif; doc_jb_25_24v.tif; doc_jb_25_25r.tif; doc_jb_25_25v.tif; doc_jb_25_26r.tif; doc_jb_25_26v.tif; doc_jb_25_27r.tif; doc_jb_25_27v.tif; doc_jb_25_28r.tif; doc_jb_25_28v.tif; doc_jb_25_29r.tif
ref4102,cid4637966,Printed works,Books,"Berk, M. A. Boston, MA, The history of the Jews, to the present time, by M.A. Berk","The history of the Jews, to the present time, by M.A. Berk","Berk, M. A.",,,"Boston, MA",1844,Folder,Mixed materials,Binder F,Page,47,lbr_ff_s47_1r.tif; lbr_ff_s47_1v.tif; lbr_ff_s47_2r.tif; lbr_ff_s47_2v.tif
ref4103,cid4637965,Printed works,Books,"Branicki, I. Paramaribo, Suriname, Program of the inauguration service of the Reverend I. Branicki, religion teacher at both Jewish communities in Suriname, 1961","Program of the inauguration service of the Reverend I. Branicki, religion teacher at both Jewish communities in Suriname, 1961","Branicki, I.",,,"Paramaribo, Suriname",1961,Drawer,Mixed materials,Judaica Americana,Folder,AK 8,
ref4104,cid4637964,Printed works,Books,"Brothers, Richard. Philadelphia, PA, A binding of four books of revelations by Richard Brothers. Book 1: A revealed knowledge of the prophecies and times by the man that will be revealed to the Hebrews as their prince and prophet, the year of the world, 5913. Book 2: Same title. Book 3: Testimony of the Authenticity of theprophecies by Halhed. Book 4: A calculation on the commencement of the millennium. All published by Robert Campbell","A binding of four books of revelations by Richard Brothers. Book 1: A revealed knowledge of the prophecies and times by the man that will be revealed to the Hebrews as their prince and prophet, the year of the world, 5913. Book 2: Same title. Book 3: Testimony of the Authenticity of theprophecies by Halhed. Book 4: A calculation on the commencement of the millennium. All published by Robert Campbell","Brothers, Richard",,,"Philadelphia, PA",1795,Drawer,Mixed materials,Christian-Jewish Relations,Folder,9,doc_ja_cj_9_1v.tif; doc_ja_cj_9_2r.tif; doc_ja_cj_9_2v.tif; doc_ja_cj_9_3r.tif; doc_ja_cj_9_3v.tif; doc_ja_cj_9_4r.tif; doc_ja_cj_9_4v.tif; doc_ja_cj_9_5r.tif; doc_ja_cj_9_5v.tif; doc_ja_cj_9_6r.tif; doc_ja_cj_9_6v.tif; doc_ja_cj_9_7r.tif; doc_ja_cj_9_7v.tif; doc_ja_cj_9_8r.tif; doc_ja_cj_9_8v.tif; doc_ja_cj_9_9r.tif; doc_ja_cj_9_9v.tif; doc_ja_cj_9_10r.tif; doc_ja_cj_9_10v.tif; doc_ja_cj_9_11r.tif; doc_ja_cj_9_11v.tif; doc_ja_cj_9_12r.tif; doc_ja_cj_9_12v.tif; doc_ja_cj_9_13r.tif; doc_ja_cj_9_13v.tif; doc_ja_cj_9_14r.tif; doc_ja_cj_9_14v.tif; doc_ja_cj_9_15r.tif; doc_ja_cj_9_15v.tif; doc_ja_cj_9_16r.tif; doc_ja_cj_9_16v.tif; doc_ja_cj_9_17r.tif; doc_ja_cj_9_17v.tif; doc_ja_cj_9_18r.tif; doc_ja_cj_9_18v.tif; doc_ja_cj_9_19r.tif; doc_ja_cj_9_20r.tif; doc_ja_cj_9_20v.tif; doc_ja_cj_9_21r.tif; doc_ja_cj_9_21v.tif; doc_ja_cj_9_22r.tif; doc_ja_cj_9_22v.tif; doc_ja_cj_9_23r.tif; doc_ja_cj_9_24r.tif; doc_ja_cj_9_24v.tif; doc_ja_cj_9_25r.tif; doc_ja_cj_9_25v.tif; doc_ja_cj_9_26r.tif; doc_ja_cj_9_26v.tif; doc_ja_cj_9_27r.tif; doc_ja_cj_9_27v.tif; doc_ja_cj_9_28r.tif; doc_ja_cj_9_28v.tif; doc_ja_cj_9_29r.tif; doc_ja_cj_9_29v.tif; doc_ja_cj_9_30r.tif; doc_ja_cj_9_30v.tif; doc_ja_cj_9_31r.tif; doc_ja_cj_9_31v.tif; doc_ja_cj_9_32r.tif; doc_ja_cj_9_32v.tif; doc_ja_cj_9_33r.tif; doc_ja_cj_9_33v.tif; doc_ja_cj_9_34r.tif; doc_ja_cj_9_34v.tif; doc_ja_cj_9_35r.tif; doc_ja_cj_9_35v.tif; doc_ja_cj_9_36r.tif; doc_ja_cj_9_36v.tif; doc_ja_cj_9_37r.tif; doc_ja_cj_9_37v.tif
