Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators
ref47,cid4641984,Artifacts,Art,"Penn, John. , Map and calculations",Map and calculations,"Penn, John",,,,undated,Drawer,Mixed materials,Judaica Americana,Folder,PA 482,doc_ja_pa_482_1r.tif; doc_ja_pa_482_1v.tif; doc_ja_pa_483_1r.tif; doc_ja_pa_483_1v.tif; doc_ja_pa_484_1r.tif; doc_ja_pa_484_1v.tif; doc_ja_pa_485_1r.tif; doc_ja_pa_485_1v.tif; doc_ja_pa_486_1r.tif; doc_ja_pa_486_1v.tif
ref48,cid4641983,Artifacts,Art,"Rosenbach, Miriam H. Wolf. Philadelphia, PA, New Year's Card with a calling card of Miriam H. Wolf Rosenbach",New Year's Card with a calling card of Miriam H. Wolf Rosenbach,"Rosenbach, Miriam H. Wolf",,,"Philadelphia, PA",1900,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 226,doc_ja_phil_226_1r.tif; doc_ja_phil_226_1v.tif
ref49,cid4641982,Artifacts,Art,"Rosenthal. Philadelphia, PA, A colorful war-date gold bordered lithograph by famed Jewish Philadelphia printer, Rosenthal entitled ""Camp Boas, 127th Reg't"" and shows the regiment assembled on the camp's parade ground while an American flag fies high","A colorful war-date gold bordered lithograph by famed Jewish Philadelphia printer, Rosenthal entitled ""Camp Boas, 127th Reg't"" and shows the regiment assembled on the camp's parade ground while an American flag fies high",Rosenthal,,,"Philadelphia, PA",1862 November 1,Box,Mixed materials,6,Object,16,bx6_16_1r.tif; bx6_16_1v.tif
ref50,cid4641981,Artifacts,Art,"Schile, H. New York, NY, Lithograph of services on the Day of Atonement by the Israelite soldiers of the Prussian army published by H. Schile",Lithograph of services on the Day of Atonement by the Israelite soldiers of the Prussian army published by H. Schile,"Schile, H.",,,"New York, NY",1870,Box,Mixed materials,2,Object,19,bx2_19_1r.tif; bx2_19_1v.tif
ref51,cid4641980,Artifacts,Art,"Spinoza, Baruch.",,"Spinoza, Baruch",,,,undated,Drawer,Mixed materials,Montefiore,Folder,20,doc_mnt_20_1r.tif; doc_mnt_20_1v.tif
ref52,cid4641979,Artifacts,Art,"Unknown. , Caricature of a Jewish man",Caricature of a Jewish man,Unknown,,,,undated,Folder,Mixed materials,Binder N,Page,10,lbr_fn_s10_1r.tif; lbr_fn_s10_1v.tif
ref53,cid4641978,Artifacts,Art,"Unknown. New York, NY, New Year's card in book form mostly in Yiddish with a large fold up map of Paelstine and photos",New Year's card in book form mostly in Yiddish with a large fold up map of Paelstine and photos,Unknown,,,"New York, NY",1910,Drawer,Mixed materials,Judaica Americana,Folder,NYC 978,doc_ja_nyc_978_1r.tif; doc_ja_nyc_978_1v.tif; doc_ja_nyc_978_2r.tif; doc_ja_nyc_978_2v.tif
ref54,cid4641977,Artifacts,Art,Unknown. United States,,Unknown,,,United States,1900,Drawer,Mixed materials,Binder B,Folder,42,lbr_fb_s42_1r.tif; lbr_fb_s42_1v.tif
ref55,cid4641976,Artifacts,Art,"Unknown. United States, New Year's card in shape of a check depicting a passenger ship, menorah, zepplin and scrolls printed in Germany","New Year's card in shape of a check depicting a passenger ship, menorah, zepplin and scrolls printed in Germany",Unknown,,,United States,1910,Drawer,Mixed materials,Montefiore,Folder,7,doc_mnt_7_1r.tif; doc_mnt_7_1v.tif
ref56,cid4641975,Artifacts,Art,"Unknown. United States, New Year's card with an image of two children. Multiple languages",New Year's card with an image of two children. Multiple languages,Unknown,,,United States,1890,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 233,doc_ja_phil_233_1r.tif; doc_ja_phil_233_1v.tif
ref57,cid4641974,Artifacts,Art,"Van Pere, Abraham. Jew's Town, Suriname, Map of Suriname",Map of Suriname,"Van Pere, Abraham",,,"Jew's Town, Suriname",1720,Box,Mixed materials,2,Object,4,bx2_4_1r.tif; bx2_4_1v.tif
ref58,cid4641973,Artifacts,Art,"Wetzler, Martin. Allentown, PA, Baptismal certificate",Baptismal certificate,"Wetzler, Martin",,,"Allentown, PA",1856 April 26,Box,Mixed materials,3,Object,2a,bx3_2a_1r.tif; bx3_2a_1v.tif
ref59,cid4641972,Artifacts,Art,"Wetzler, Martin. Allentown, PA, Baptismal certificate",Baptismal certificate,"Wetzler, Martin",,,"Allentown, PA",1861 April 18,Box,Mixed materials,6,Object,17,bx6_17_1r.tif; bx6_17_1v.tif
ref60,cid4641971,Artifacts,Art,"Wetzler, Martin. Allentown, PA, Baptismal certificate",Baptismal certificate,"Wetzler, Martin",,,"Allentown, PA",1864 September 2,Box,Mixed materials,3,Object,2c,bx3_2c_1r.tif; bx3_2c_1v.tif
ref61,cid4641970,Artifacts,Art,"Wetzler, Martin. Allentown, PA, Baptismal certificate",Baptismal certificate,"Wetzler, Martin",,,"Allentown, PA",1864 December 25,Drawer,Mixed materials,Binder B,Folder,31,lbr_fb_s31_1r.tif; lbr_fb_s31_1v.tif
ref62,cid4641969,Artifacts,Art,"Wetzler, Martin. Allentown, PA, Baptismal certificate",Baptismal certificate,"Wetzler, Martin",,,"Allentown, PA",1842 November 1,Drawer,Mixed materials,Judaica Americana,Folder,PA 514,doc_ja_pa_514_1r.tif; doc_ja_pa_514_1v.tif; doc_ja_pa_514_2r.tif; doc_ja_pa_514_2v.tif
ref63,cid4641968,Artifacts,Art,"Wetzler, Martin. Allentown, PA, Baptismal certificate",Baptismal certificate,"Wetzler, Martin",,,"Allentown, PA",1862,Box,Mixed materials,2,Object,2,bx2_1_1r.tif
ref64,cid4641967,Artifacts,Art,"Wetzler, Martin. Allentown, PA, Baptismal certificate",Baptismal certificate,"Wetzler, Martin",,,"Allentown, PA",1858,Folder,Mixed materials,Binder E,Page,7,lbr_fe_s7_1r.tif; lbr_fe_s7_1v.tif
ref66,cid4641966,Artifacts,Blotters,"Bathhouse. New York, NY, Advertisment for salt water baths",Advertisment for salt water baths,,,Bathhouse,"New York, NY",undated,Drawer,Mixed materials,Judaica Americana,Folder,NYC 748,doc_ja_nyc_748_1r.tif; doc_ja_nyc_748_1v.tif
ref67,cid4641965,Artifacts,Blotters,"Bodenstein, J. G. Staatsburg, NY, Blotter used as ad for J.G. Bodenstein, with pictures of ice tools","Blotter used as ad for J.G. Bodenstein, with pictures of ice tools","Bodenstein, J. G.",,,"Staatsburg, NY",1900 January 12,Drawer,Mixed materials,Blotters,Folder,9,doc_bl_9_1r.tif; doc_bl_9_1v.tif
