Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators
ref110,cid4641923,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 686,doc_ja_va_686_1r.tif; doc_ja_va_686_1v.tif
ref111,cid4641922,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 687,doc_ja_va_687_1r.tif; doc_ja_va_687_1v.tif
ref112,cid4641921,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 688,doc_ja_va_688_1r.tif; doc_ja_va_688_1v.tif
ref113,cid4641920,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 690,doc_ja_va_690_1r.tif; doc_ja_va_690_1v.tif
ref114,cid4641919,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 691,doc_ja_va_691_1r.tif; doc_ja_va_691_1v.tif
ref115,cid4641918,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 692,doc_ja_va_692_1r.tif; doc_ja_va_692_1v.tif
ref116,cid4641917,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 693,doc_ja_va_693_1r.tif; doc_ja_va_693_1v.tif
ref117,cid4641916,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 694,doc_ja_va_694_1r.tif; doc_ja_va_694_1v.tif
ref118,cid4641915,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 695,doc_ja_va_695_1r.tif; doc_ja_va_695_1v.tif
ref119,cid4641914,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 696,doc_ja_va_696_1r.tif; doc_ja_va_696_1v.tif
ref120,cid4641913,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 697,doc_ja_va_697_1r.tif; doc_ja_va_697_1v.tif
ref121,cid4641912,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 698,doc_ja_va_698_1r.tif; doc_ja_va_698_1v.tif
ref122,cid4641911,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 699,doc_ja_va_699_1r.tif; doc_ja_va_699_1v.tif
ref123,cid4641910,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 700,doc_ja_va_700_1r.tif; doc_ja_va_700_1v.tif
ref124,cid4641909,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 701,doc_ja_va_701_1r.tif; doc_ja_va_701_1v.tif
ref125,cid4641908,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 702,doc_ja_va_702_1r.tif; doc_ja_va_702_1v.tif
ref126,cid4641907,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 703,doc_ja_va_703_1r.tif; doc_ja_va_703_1v.tif
ref127,cid4641906,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 704,doc_ja_va_704_1r.tif; doc_ja_va_704_1v.tif
ref128,cid4641905,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 705,doc_ja_va_705_1r.tif; doc_ja_va_705_1v.tif
ref129,cid4641904,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 706,doc_ja_va_706_1r.tif; doc_ja_va_706_1v.tif
ref130,cid4641903,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 707,doc_ja_va_707_1r.tif; doc_ja_va_707_1v.tif
ref131,cid4641902,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 708,doc_ja_va_708_1r.tif; doc_ja_va_708_1v.tif
ref132,cid4641901,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 709,doc_ja_va_709_1r.tif; doc_ja_va_709_1v.tif
ref133,cid4641900,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 710,doc_ja_va_710_1r.tif; doc_ja_va_710_1v.tif
ref134,cid4641899,Artifacts,Objects,"Rosenstein. Chicago, IL, Circle lable shoe and instructions",Circle lable shoe and instructions,,,Rosenstein,"Chicago, IL",1890,Folder,Mixed materials,Binder C,Page,26,
ref135,cid4641898,Artifacts,Objects,"Rothchild. Hartford, CT, Pin Cushion with lithograph of eagle and two public buildings for Horsfall and Rothchild",Pin Cushion with lithograph of eagle and two public buildings for Horsfall and Rothchild,,,Rothchild,"Hartford, CT",1890,Folder,Mixed materials,Binder C,Folder,CT 160,doc_bhl_ct_160_1r.tif; doc_bhl_ct_160_1v.tif
ref136,cid4641897,Artifacts,Objects,"Tenement. New York, NY, Sign advertisement a tenement for rent",Sign advertisement a tenement for rent,,,Tenement,"New York, NY",undated,Box,Mixed materials,9,Object,59,bx9_59_1r.tif; bx9_59_1v.tif
ref137,cid4641896,Artifacts,Objects,Unknown.,,Unknown,,,,undated,Drawer,Mixed materials,Civil War,Folder,69,doc_cw_69_1r.tif; doc_cw_69_1v.tif; doc_cw_69_2r.tif; doc_cw_69_2v.tif
ref138,cid4641895,Artifacts,Objects,"Unknown. Denver, CO, Good luck coin used as ad for the 50th anniversary of the National Jewish Hospital in Denver",Good luck coin used as ad for the 50th anniversary of the National Jewish Hospital in Denver,Unknown,,,"Denver, CO",1905 May 2,Drawer,Mixed materials,Billheads Pre-1880,Folder,MD 914,
ref139,cid4641894,Artifacts,Objects,"Unknown. Jaffa, Israel, Knit hat that says Jaffa and Jerusalem",Knit hat that says Jaffa and Jerusalem,Unknown,,,"Jaffa, Israel",undated,Box,Mixed materials,3,Object,1c,bx3_1c_1r.tif; bx3_1c_1v.tif
ref140,cid4641893,Artifacts,Objects,"Unknown. Lehighton, PA",,Unknown,,,"Lehighton, PA",1930,Box,Mixed materials,9,Object,3,bx9_3b_1r.tif; bx9_3b_1v.tif
ref141,cid4641892,Artifacts,Objects,"Unknown. United States, Stamps to ""Boycott Hitler not Germany"" depicting a Jewish star, dog and gate","Stamps to ""Boycott Hitler not Germany"" depicting a Jewish star, dog and gate",Unknown,,,United States,1936,Folder,Mixed materials,Binder P,Page,30,lbr_fp_s30a_1r.tif; lbr_fp_s30a_1v.tif; lbr_fp_s30b_1r.tif; lbr_fp_s30b_1v.tif
ref142,cid4641891,Artifacts,Objects,"Urich, J. Unknown",,"Urich, J.",,,Unknown,1890,Drawer,Mixed materials,Montefiore,Folder,33,doc_mnt_33_1r.tif; doc_mnt_33_1v.tif
ref143,cid4641890,Artifacts,Objects,"Whitlock, Phillip. Richmond, VA",,"Whitlock, Phillip",,,"Richmond, VA",1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 683,doc_ja_va_683_1r.tif; doc_ja_va_683_1v.tif
ref144,cid4641889,Artifacts,Objects,"Whitlock, Phillip. Richmond, VA",,"Whitlock, Phillip",,,"Richmond, VA",1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 683-710,doc_ja_va_683-710_1r.tif; doc_ja_va_683-710_1v.tif
ref145,cid4641888,Artifacts,Objects,"Young Men's Hebrew Association. Syracuse, NY, Convention silk ribbon for the Young Men's Hebrew Association of Syracuse, New York","Convention silk ribbon for the Young Men's Hebrew Association of Syracuse, New York",,,Young Men's Hebrew Association,"Syracuse, NY",1900,Drawer,Mixed materials,Judaica Americana,Folder,NY 411,doc_ja_ny_411_1r.tif; doc_ja_ny_411_1v.tif
ref147,cid4641887,Artifacts,Trade cards,"Block, Jake. Las Vegas, NM, Advertisement for clothier",Advertisement for clothier,"Block, Jake",,,"Las Vegas, NM",1885,Box,Mixed materials,4,Object,1g,bx4_1g_1r.tif; bx4_1g_1v.tif
ref148,cid4641886,Artifacts,Trade cards,"Davis, Deupree & Co. Richmond, VA, Advertisement for the sale of negroes",Advertisement for the sale of negroes,,,"Davis, Deupree & Co.","Richmond, VA",1855,Drawer,Mixed materials,Judaica Americana,Folder,VA 650,doc_ja_va_650_1r.tif; doc_ja_va_650_1v.tif
ref149,cid4641885,Artifacts,Trade cards,"Geo. Oliver & Co. New York, NY, Advertisement listing Hebrew holidays",Advertisement listing Hebrew holidays,,,Geo. Oliver & Co.,"New York, NY",1910,Folder,Mixed materials,Binder L,Page,19d,lbr_fl_s19d_1r.tif; lbr_fl_s19d_1v.tif; lbr_fl_s19d_2rjpg; lbr_fl_s19d_2v.tif
ref150,cid4641884,Artifacts,Trade cards,"Gerson's. Philadelphia, PA, Advertisement for milliner",Advertisement for milliner,,,Gerson's,"Philadelphia, PA",1885,Box,Mixed materials,4,Object,11,bx4_11_1r.tif; bx4_11_1v.tif
ref151,cid4641883,Artifacts,Trade cards,"I. N. Carvalho &Co. Philadelphia, PA, Advertisement for cigar store",Advertisement for cigar store,,,I. N. Carvalho &Co.,"Philadelphia, PA",1885,Box,Mixed materials,4,Object,1i,bx4_1i_1r.tif; bx4_1i_1v.tif; bx4_1i_a.tif; bx4_1i_b.tif
ref152,cid4641882,Artifacts,Trade cards,"J. M. Neuburger. La Porte, IN",,,,J. M. Neuburger,"La Porte, IN",1863,Drawer,Mixed materials,Judaica Americana,Folder,NJ 374,
ref153,cid4641881,Artifacts,Trade cards,"J. M. Neuburger. La Porte, IN",,,,J. M. Neuburger,"La Porte, IN",1863,Drawer,Mixed materials,Judaica Americana,Folder,GA 69,
ref154,cid4641880,Artifacts,Trade cards,"J. M. Neuburger. La Porte, IN",,,,J. M. Neuburger,"La Porte, IN",1863,Drawer,Mixed materials,Judaica Americana,Folder,OH 422,
ref155,cid4641879,Artifacts,Trade cards,"J. Stern &Sons. Quincy, IL, Advertisement for clothier",Advertisement for clothier,,,J. Stern &Sons,"Quincy, IL",1885,Box,Mixed materials,4,Object,1a,bx4_1a_1r.tif; bx4_1a_1v.tif
ref156,cid4641878,Artifacts,Trade cards,"J. Stern &Sons. Quincy, IL, Advertisement for clothier",Advertisement for clothier,,,J. Stern &Sons,"Quincy, IL",1885,Box,Mixed materials,4,Object,1b,bx4_1b_1r.tif; bx4_1b_1v.tif
ref157,cid4641877,Artifacts,Trade cards,"J. Stern &Sons. Quincy, IL, Advertisement for clothier",Advertisement for clothier,,,J. Stern &Sons,"Quincy, IL",1885,Box,Mixed materials,4,Object,1c,bx4_1c_1r.tif; bx4_1c_1v.tif
ref158,cid4641876,Artifacts,Trade cards,"Kaufmann. Pittsburgh, PA, Advertisment for clothier",Advertisment for clothier,Kaufmann,,,"Pittsburgh, PA",1885,Box,Mixed materials,4,Object,2,bx4_2_1r.tif; bx4_2_1v.tif
ref159,cid4641875,Artifacts,Trade cards,"Kaufmans. Pittsburgh, PA, Advertisement for milliner",Advertisement for milliner,,,Kaufmans,"Pittsburgh, PA",1893,Box,Mixed materials,4,Object,1l,bx4_1l_1r.tif; bx4_1l_1v.tif
ref160,cid4641874,Artifacts,Trade cards,"Levy, H. H. Quincy, IL, Advertisement for fur merchant",Advertisement for fur merchant,"Levy, H. H.",,,"Quincy, IL",1885,Box,Mixed materials,4,Object,1d,bx4_1d_1r.tif; bx4_1d_1v.tif
ref161,cid4641873,Artifacts,Trade cards,"O. V. Handy & Bros. Philadelphia, PA",,,,O. V. Handy & Bros,"Philadelphia, PA",1916,Drawer,Mixed materials,Billhead Post-1880,Folder,PHIL 779,doc_bhl_phil_779_1r.tif; doc_bhl_phil_779_1v.tif
ref162,cid4641872,Artifacts,Trade cards,"Powell &Goldstein. Oneida, NY, Advertisement for cigar store",Advertisement for cigar store,,,Powell &Goldstein,"Oneida, NY",1885,Box,Mixed materials,4,Object,1h,bx4_1h_1r.tif; bx4_1h_1v.tif; bx4_1h_a.tif; bx4_1h_b.tif
ref163,cid4641871,Artifacts,Trade cards,"S. Brill &Co. New York, NY",,,,S. Brill &Co.,"New York, NY",1885,Box,Mixed materials,9,Object,6m,bx9_6m_1r.tif; bx9_6m_1v.tif
ref164,cid4641870,Artifacts,Trade cards,"S. W. Schloss. Wilkes-Barre, PA, Advertisement for home goods store",Advertisement for home goods store,,,S. W. Schloss,"Wilkes-Barre, PA",1885,Box,Mixed materials,4,Object,1e,bx4_1e_1r.tif; bx4_1e_1v.tif
ref165,cid4641869,Artifacts,Trade cards,"Samuel Cohn &Bro. New York, NY, Advertisment for shoe store",Advertisment for shoe store,,,Samuel Cohn &Bro.,"New York, NY",1885,Box,Mixed materials,4,Object,1f,bx4_1f_1r_a.tif; bx4_1f_1r_b.tif; bx4_1f_1r_c.tif; bx4_1f_1r_d.tif; bx4_1f_1r_e.tif; bx4_1f_1v.tif
