	Jonathan Edwards	Benjamin Franklin	George Washington	James Logan	John Adams	Massachusetts Bay Colony	Richard Mather	Thomas Jefferson	William Byrd
Flavius Josephus	0	0	0	0.3	0.1	0	0	0.3	0.3
Flavius Vegetius Renatus	0	0	0	0	0	0	0	0.1	0
Fondo Cicognara	0	0.1	0	0	0	0	0	0	0
Francis Holyoake	0	0	0	0	0	0.1	0	0	0
Francis Makemie	0	0	0	0	0	0	0.1	0	0
Francis Taylor	0	0	0	0	0	0	0.1	0	0
Francisco CanÌƒes	0	0.1	0	0	0	0	0	0	0
Franciscus Hegerus	0	0	0	0	0	0	0.1	0.3	0
Franciscus Junius	0	0	0	0	0	0	0.1	0	0.1
Franciscus Mercurius van Helmont	0	0	0	0.1	0	0	0	0	0
Franz OberthuÌˆr	0	0	0	0	0	0	0	0.1	0
Fredrik Hasselquist	0	0.1	0	0	0	0	0	0	0
Friedrich Risner	0	0	0	0.1	0	0	0	0	0
Friedrich Spanheim	0	0	0	0	0	0	0.1	0	0
Gai Plini Segon	0	0	0	0.1	0	0	0	0	0
George Buchanan	0	0.1	0	0	0	0	0	0.1	0
George Hooper	0	0	0	0.1	0	0	0	0	0
George Webster	0	0	0	0	0	0	0	0.1	0
George Wythe	0	0	0	0	0	0	0	0.1	0
"Gherardo, da Cremona"	0	0	0	0.1	0	0	0	0	0
Giambattista Della Porta	0	0	0	0	0	0	0.1	0	0
Giovanni Nanni	0	0	0	0	0	0	0	0.2	0
Giovanni Pico della Mirandola	0	0	0	0.2	0	0	0.1	0	0
Giulio Pace	0	0	0	0	0.1	0	0	0	0
Granville Sharp	0	0	0.1	0	0	0	0	0	0
Guilelmus Coddaeus	0	0	0	0.1	0	0	0	0	0
Guillaume Duval	0	0	0	0	0.1	0	0	0	0
Heinrich Petri	0	0	0	0	0	0	0.1	0	0
Heinrich Sike	0	0	0	0	0	0	0	0.1	0
Henri Estienne	0	0	0	0	0	0	0	0.1	0
Henry Ainsworth	0	0	0	0	0	0.2	0	0	0.1
Henry Aldrich	0	0	0	0	0	0	0	0.1	0
Henry Bonwicke	0	0	0	0.1	0	0	0	0	0
Henry Middleton	0	0	0	0	0	0	0	0.1	0
Henry Trotter	0	0	0	0.1	0	0	0	0	0
Herman Witsius	0	0	0	0	0.1	0	0	0	0
"Hesychius, of Miletus."	0	0	0	0	0	0	0	0.1	0
Hieronymus Froben	0	0	0	0.1	0	0	0	0	0
Hugo Grotius	0	0	0	0.1	0	0	0	0	0
Huilliam O'Domhnuill	0	0	0	0	0	0	0	0.1	0
Humphrey Hody	0	0	0	0	0	0	0	0.1	0
Humphrey Prideaux	0	0	0	0.2	0	0	0	0.1	0.1
Ê»UthmaÌ„n ibn Ê»Umar Ibn al-HÌ£aÌ„jib	0	0	0	0.1	0	0	0	0	0
Immanuel Tremellius	0	0	0	0	0	0	0	0.3	0.2
Increase Mather	0	0.1	0	0	0	0	0.2	0	0
IoÌ„anneÌ„s KomneÌ„nos	0	0	0	0.1	0	0	0	0	0
Ioannes Mahotius	0	0	0	0	0	0	0	0	0
Isaac Casaubon	0	0	0	0	0.1	0	0	0.2	0
Isaac Newton	0	0	0	0.2	0	0	0	0.1	0
Isaiah Horowitz	0	0	0	0.1	0	0	0	0	0
Isaiah Thomas	0	0	0.1	0	0	0	0	0	0
J  L Towers	0	0	0	0	0	0	0	0.1	0
Jacob Judah Leon	0	0.1	0	0	0	0	0	0	0
Jacobus Golius	0	0	0	0.2	0	0	0	0	0
Jacques BeÌÅnigne Bossuet	0	0	0	0.1	0	0	0	0	0
Jakob Gottfried Seyler	0	0	0	0	0	0	0.1	0	0
James Adair	0	0	0	0	0	0	0	0.1	0
James Burrow	0	0.1	0	0	0	0	0	0	0
James Duport	0	0	0	0	0	0	0	0.1	0
James Ussher	0	0	0	0.1	0	0	0	0.1	0
James Young	0	0	0	0	0.1	0	0	0	0
Jane Aitken	0	0	0	0	0	0	0	0.1	0
Janus Gruterus	0	0	0	0	0	0	0	0.1	0
Jean Bouhier	0	0	0	0.1	0	0	0	0	0
Jean Foy Vaillant	0	0	0	0.1	0	0	0	0	0
Jean Harduin	0	0	0	0.1	0	0	0	0	0
Jean Henri Masmejan	0	0.1	0	0	0	0	0	0	0
Jean Maire	0	0	0	0.1	0	0	0	0	0
Jean Mercier	0	0	0	0	0	0	0.1	0	0.1
Jedidiah Morse	0	0	0	0	0.1	0	0	0	0
"Jehiel Michal ben Abraham Epstein, ha-Levi"	0	0	0	0.1	0	0	0	0	0
Jeremy Belknap	0	0	0	0	0.3	0	0	0	0
"Jerome, Saint"	0	0	0	0	0	0	0	0.1	0
"Joannes, Philoponus"	0	0	0	0.1	0	0	0	0	0
Johan Ihre	0	0	0	0	0	0	0	0.1	0
Johann Balthasar Schupp	0	0	0	0	0	0	0.1	0	0
Johann Buxtorf	0.2	0	0	0.8	0	0	0.3	0	0.2
Johann Buxtorf (der AÌˆltere)	0	0	0	0.1	0	0	0	0	0
Johann David Michaelis	0	0	0	0	0	0	0	0.1	0
Johann Ernst Gerhard	0	0	0	0	0	0	0.1	0	0
Johann Heinrich Hottinger	0	0	0	0	0	0	0.2	0	0
Johann Jacob Fries	0	0	0	0.1	0	0	0	0	0
Johann Jacob Linsius	0	0	0	0.1	0	0	0	0	0
Johann Jakob Bodmer	0	0	0	0	0	0	0.1	0	0
Johann Tobias Krebs	0	0	0	0	0	0	0	0.1	0
Johann Wolf	0	0	0	0.1	0	0	0	0	0
Johannes Brenz	0	0	0	0	0	0	0.1	0	0
Johannes Hoornbeeck	0	0	0	0.1	0	0	0	0	0
Johannes Leusden	0	0	0	0.2	0	0	0.1	0.1	0.2
John Adams	0	0	0	0	0.1	0	0	0	0
John Arbuthnot	0	0	0	0.1	0	0	0	0.1	0
John Bacon	0	0	0	0	0	0	0	0.2	0
John Baskerville	0	0.1	0	0	0	0	0	0	0
John Brown	0	0	0.1	0	0	0	0	0	0
John Clarke	0	0	0	0	0.3	0	0	0	0
John Cotton	0	0	0	0	0	0	0.1	0	0.1
John Downame	0	0	0	0	0	0	0	0.2	0
John Eliot	0	0	0	0	0	0	0.1	0	0.1
John Henley	0	0	0	0.1	0	0	0	0	0
John Hoofnail	0	0.1	0	0	0	0	0	0	0
John Hopkins	0	0	0	0	0	0	0.1	0	0.1
John Hudson	0	0	0	0	0	0	0	0.1	0.1
John Jacob	0	0	0	0	0	0	0.1	0	0
John Matern	0	0	0	0	0	0	0.1	0	0.1
John Mill	0	0	0	0	0	0	0	0.5	0
John Noorthouck	0	0	0	0	0	0	0	0.1	0
John Owen	0	0	0	0	0	0	0.2	0	0
John Rider	0	0	0	0	0	0.1	0	0	0
John Selden	0	0	0	0.3	0	0	0	0.3	0
John Senex	0	0	0	0.1	0	0	0	0	0
John Smith	0	0	0	0	0	0	0	0.1	0
John Spencer	0	0	0	0.1	0	0	0	0	0.1
John Udall	0	0	0	0	0	0	0.1	0	0
John Williams	0	0.1	0	0	0	0	0	0	0
Jonathan Edwards	0	0	0.1	0	0	0	0	0.1	0
Joseph Athias	0	0	0	0.1	0	0	0	0	0
Joseph ben Ephraim Karo	0	0	0	0.2	0	0	0	0	0
Joseph Juste Scaliger	0	0	0	0.2	0	0	0	0	0
Joseph Marie SuareÌ€s	0	0	0	0.1	0	0	0	0	0
Joseph Priestley	0	0.1	0	0	0.1	0	0	0.2	0
Laurence Tomson	0	0	0	0	0	0	0.1	0	0
"Leo, Africanus"	0	0	0	0.2	0	0	0	0	0
Leonard Chappelow	0	0	0	0.1	0	0	0	0	0
Lodewijk Meijer	0	0	0	0.1	0	0	0	0	0
London. Sion College. Library.	0	0	0	0.1	0	0	0	0	0
Louis a Paramo	0	0.1	0	0	0	0	0	0	0
Louis Cappel	0	0	0	0.1	0	0	0	0.1	0
Louis GueÌÅrin	0	0	0	0.1	0	0	0	0	0
"Louis-Marie-Joseph-Romain d'Albert d'Ailly Chaulnes, duc de"	0	0.1	0	0	0	0	0	0	0
Lucius Junius Moderatus Columella	0	0	0	0	0	0	0	0.1	0
LuqmaÌ„n.	0	0	0	0.1	0	0	0	0	0
MaimoÌÅnides.	0	0	0	0.3	0	0	0.1	0	0
Manasseh ben Israel	0	0	0	0.2	0	0	0	0	0.1
Marco Antonio Zimara	0	0	0	0	0	0	0.1	0	0
Marcus Porcius Cato	0	0	0	0	0	0	0	0.1	0
"Marie-Joseph-Louis d'Albert d'Ailly Chaulnes, (duc de)"	0	0.1	0	0	0	0	0	0	0
"Masclef, Chanoine FrancÌ§ois."	0	0	0	0.1	0	0	0	0	0
Matthew Day	0	0	0	0	0	0	0.1	0	0
Matthew Poole	0	0	0	0.1	0	0	0	0	0
Maurice Baquoy	0	0	0	0.1	0	0	0	0	0
