Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators,,,,,
ref185,cid4641853,Documents,Billheads,"Abraham and Straus. New York, NY, Vignette of the men of the Abraham and Straus store",Vignette of the men of the Abraham and Straus store,,,Abraham and Straus,"New York, NY",1899 April 30,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 424,doc_bhl_nyc_424_1r.tif; doc_bhl_nyc_424_1v.tif,,,,Billheads,
ref186,cid4641852,Documents,Billheads,"Abrahm and Karsky. Weaverville, CA, Bill from store of Abraham and Karsky",Bill from store of Abraham and Karsky,Abrahm and Karsky,,,"Weaverville, CA",1889 June 2,Drawer,Mixed materials,Billheads Post-1880,Folder,CA 45,doc_bhl_ca_45_1r.tif; doc_bhl_ca_45_1v.tif,,,,Billheads,Abrahm and Karsky
ref187,cid4641851,Documents,Billheads,"Abrahm and Karsky. Weaverville, CA, Bill from store of Abraham and Karsky",Bill from store of Abraham and Karsky,Abrahm and Karsky,,,"Weaverville, CA",1889 February 21,Drawer,Mixed materials,Billheads Post-1880,Folder,CA 46,doc_bhl_ca_46_1r.tif; doc_bhl_ca_46_1v.tif,,,,Billheads,Abrahm and Karsky
ref188,cid4641850,Documents,Billheads,"Ackerman Brothers. San Francisco, CA, Ackerman Brothers: Fancy goods and toys, crockery, glassware, platedware, cutlery, etc","Ackerman Brothers: Fancy goods and toys, crockery, glassware, platedware, cutlery, etc",,,Ackerman Brothers,"San Francisco, CA",1877 September 22,Drawer,Mixed materials,Billheads Pre-1880,Folder,SF 770,doc_bhe_sf_770_1r.tif; doc_bhe_sf_770_1v.tif,,,,Billheads,
ref189,cid4641849,Documents,Billheads,"Ackerman Brothers. San Francisco, CA, Ackerman Brothers: Fancy goods and toys, crockery, glassware, platedware, cutlery, etc","Ackerman Brothers: Fancy goods and toys, crockery, glassware, platedware, cutlery, etc",,,Ackerman Brothers,"San Francisco, CA",1877 June 20,Drawer,Mixed materials,Billheads Pre-1880,Folder,SF 772,doc_bhe_sf_772_1r.tif; doc_bhe_sf_772_1v.tif,,,,Billheads,
ref190,cid4641848,Documents,Billheads,"Ackerman Brothers. San Francisco, CA, Ackerman Brothers: Fancy goods and toys, crockery, glassware, platedware, cutlery, etc","Ackerman Brothers: Fancy goods and toys, crockery, glassware, platedware, cutlery, etc",,,Ackerman Brothers,"San Francisco, CA",1878 March 27,Drawer,Mixed materials,Billheads Pre-1880,Folder,SF 771,doc_bhe_sf_771_1r.tif; doc_bhe_sf_771_1v.tif,,,,Billheads,
ref191,cid4641847,Documents,Billheads,"Adler and Ohlman. Yankton, DT",,,,Adler and Ohlman,"Yankton, DT",1877 July 3,Drawer,Mixed materials,Billheads Pre-1880,Folder,CT 860,doc_bhe_ct_860_1r.tif; doc_bhe_ct_860_1v.tif,,,,Billheads,
ref192,cid4641846,Documents,Billheads,"Adler, A. and Levy, Isaac. New Orleans, LA, Bill from Adler and Levy",Bill from Adler and Levy,"Adler, A.","Levy, Isaac",,"New Orleans, LA",1880 July 27,Drawer,Mixed materials,Billheads Pre-1880,Folder,LA 896,doc_bhe_la_896_1r.tif; doc_bhe_la_896_1v.tif,,,,Billheads,"Adler, A."
ref193,cid4641845,Documents,Billheads,"Adler, Eichold and Leva. Selma, AL, Bill from Adler, Eichold and Leva, wholesale dealers in groceries, liquors and tobacco in Selma, Alabama. (The name Eichold has been crossed out)","Bill from Adler, Eichold and Leva, wholesale dealers in groceries, liquors and tobacco in Selma, Alabama. (The name Eichold has been crossed out)",,,"Adler, Eichold and Leva","Selma, AL",1877 June 18,Drawer,Mixed materials,Billheads Pre-1880,Folder,AL 705,doc_bhe_al_705_1r.tif; doc_bhe_al_705_1v.tif,,,,Billheads,
ref194,cid4641844,Documents,Billheads,"Adler, Louis J. Pittsburgh, PA, Bill from Louis J. Adler to W.P. Schenk",Bill from Louis J. Adler to W.P. Schenk,"Adler, Louis J.",,,"Pittsburgh, PA",1915 March 15,Drawer,Mixed materials,Billheads Post-1880,Folder,PITT 826,doc_bhl_pitt_826_1r.tif; doc_bhl_pitt_826_1v.tif,,,,Billheads,"Adler, Louis J."
ref195,cid4641843,Documents,Billheads,"Adler, Philip. New York, NY",,"Adler, Philip",,,"New York, NY",1892 July 21,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 452,doc_bhl_nyc_452_1r.tif; doc_bhl_nyc_452_1v.tif,,,,Billheads,"Adler, Philip"
ref196,cid4641842,Documents,Billheads,"Adler, Philip. New York, NY",,"Adler, Philip",,,"New York, NY",1891 December 10,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 460,doc_bhl_nyc_460_1r.tif; doc_bhl_nyc_460_1v.tif,,,,Billheads,"Adler, Philip"
ref197,cid4641841,Documents,Billheads,"Ahpel, Henry and Eppinger, I. Sacramento, CA, Bill from Ahpel and Eppinger, dealears in fruits, nuts, preserves, cigars, and tobacco","Bill from Ahpel and Eppinger, dealears in fruits, nuts, preserves, cigars, and tobacco","Ahpel, Henry","Eppinger, I.",,"Sacramento, CA",1857 September 24,Drawer,Mixed materials,Billheads Pre-1880,Folder,SF 791,doc_bhe_sf_791_1r.tif; doc_bhe_sf_791_1v.tif,,,,Billheads,"Ahpel, Henry"
ref198,cid4641840,Documents,Billheads,"Albenberg, Conhaim and Co. St. Paul, MN",,,,"Albenberg, Conhaim and Co.","St. Paul, MN",1886 March 19,Drawer,Mixed materials,Billheads Post-1880,Folder,MN 308,doc_bhl_mn_308_1r.tif; doc_bhl_mn_308_1v.tif,,,,Billheads,
ref199,cid4641839,Documents,Billheads,"Albenberg, Conhaim and Co. St. Paul, MN, Bill for the Conhaim brothers' Conhaim and Co., signed by D.E. Conhaim","Bill for the Conhaim brothers' Conhaim and Co., signed by D.E. Conhaim",,,"Albenberg, Conhaim and Co.","St. Paul, MN",1886 March 19,Drawer,Mixed materials,Billheads Post-1880,Folder,MN 308,doc_bhl_mn_308_1r.tif; doc_bhl_mn_308_1v.tif,,,,Billheads,
ref200,cid4641838,Documents,Billheads,"Albert Steinfeld & Co. Tucson, AZ, Bill for Justin Buttes",Bill for Justin Buttes,,,Albert Steinfeld & Co.,"Tucson, AZ",undated,Drawer,Mixed materials,Billhead Post-1880,Folder,AZ 35,doc_bhl_az_35_1r.tif; doc_bhl_az_35_1v.tif,,,,Billheads,
ref201,cid4641837,Documents,Billheads,"Albert Steinfeld & Co. Tucson, AZ, Bill for Justin Buttes",Bill for Justin Buttes,,,Albert Steinfeld & Co.,"Tucson, AZ",1905,Drawer,Mixed materials,Billhead Post-1880,Folder,AZ 36,doc_bhl_az_36_1r.tif; doc_bhl_az_36_1v.tif,,,,Billheads,
ref202,cid4641836,Documents,Billheads,"Albert Steinfeld and Co. Tucson, AZ, Billhead from Albert Steinfeld and Co., nephew of Louis Zeckendorf, Arizona pioneer","Billhead from Albert Steinfeld and Co., nephew of Louis Zeckendorf, Arizona pioneer",,,Albert Steinfeld and Co.,"Tucson, AZ",1905 June 30,Drawer,Mixed materials,Billheads Post-1880,Folder,AZ 28,doc_bhl_az_28_1r.tif; doc_bhl_az_28_1v.tif,,,,Billheads,
ref203,cid4641835,Documents,Billheads,"Albert Steinfeld and Co. Tucson, AZ, Billhead from Albert Steinfeld and Co., nephew of Louis Zeckendorf, Arizona pioneer","Billhead from Albert Steinfeld and Co., nephew of Louis Zeckendorf, Arizona pioneer",,,Albert Steinfeld and Co.,"Tucson, AZ",1905 August 19,Drawer,Mixed materials,Billheads Post-1880,Folder,AZ 27,doc_bhl_az_27_1r.tif; doc_bhl_az_27_1v.tif,,,,Billheads,
ref204,cid4641834,Documents,Billheads,"Alfred Benjamin & Co. New York, NY, Bill for Townsend Young's Son",Bill for Townsend Young's Son,,,Alfred Benjamin & Co.,"New York, NY",1896 October 27,Drawer,Mixed materials,Billhead Post-1880,Folder,NYC 430,doc_bhl_nyc_430_1r.tif; doc_bhl_nyc_430_1v.tif,,,,Billheads,
ref205,cid4641833,Documents,Billheads,"Alfred Benjamin & Co. New York, NY, Bill for Townsend Young's Son",Bill for Townsend Young's Son,,,Alfred Benjamin & Co.,"New York, NY",1896 May 6,Drawer,Mixed materials,Billhead Post-1880,Folder,NYC 439,doc_bhl_nyc_439_1r.tif; doc_bhl_nyc_439_1v.tif,,,,Billheads,
ref206,cid4641832,Documents,Billheads,"Alfred Benjamin & Co. New York, NY, Bill for Townsend Young's Son",Bill for Townsend Young's Son,,,Alfred Benjamin & Co.,"New York, NY",1896 May 14,Drawer,Mixed materials,Billhead Post-1880,Folder,NYC 441,doc_bhl_nyc_441_1r.tif; doc_bhl_nyc_441_1v.tif,,,,Billheads,
ref207,cid4641831,Documents,Billheads,"Alfred Benjamin & Co. New York, NY, Bill for Townsend Young's Son",Bill for Townsend Young's Son,,,Alfred Benjamin & Co.,"New York, NY",1896 October 3,Drawer,Mixed materials,Billhead Post-1880,Folder,NYC 443,doc_bhl_nyc_443_1r.tif; doc_bhl_nyc_443_1v.tif,,,,Billheads,
ref208,,Documents,Billheads,"Allison, Levy and Co. San Francisco, CA, Billhead for Allison, Levy and Co., dealers in all kinds of fruit and produce","Billhead for Allison, Levy and Co., dealers in all kinds of fruit and produce",,,"Allison, Levy and Co.","San Francisco, CA",1868 April 29,,,,,,doc_bhe_sf_815_1r.tif; doc_bhe_sf_815_1v.tif,,,,Billheads,
ref209,cid4641830,Documents,Billheads,"Altman and Co. Buffalo, NY",,Altman and Co.,,,"Buffalo, NY",1868 July 8,Drawer,Mixed materials,Billheads Pre-1880,Folder,NY 986,doc_bhe_ny_986_1r.tif; doc_bhe_ny_986_1v.tif,,,,Billheads,Altman and Co.
ref210,cid4641829,Documents,Billheads,"American Israelite. Cincinnati, OH, Bill for prayer book",Bill for prayer book,,,American Israelite,"Cincinnati, OH",1900 December 24,Drawer,Mixed materials,Judaica Americana,Folder,IA 101,doc_ja_ia_101_1r.tif; doc_ja_ia_101_1v.tif,,,,Billheads,
ref211,cid4641828,Documents,Billheads,"Andrade, Joseph. New York, NY, Bill for J. Andrade: Importers of ostrich and fancy feathers, and manufacturuers of ostrich and fancy feather dusters","Bill for J. Andrade: Importers of ostrich and fancy feathers, and manufacturuers of ostrich and fancy feather dusters","Andrade, Joseph",,,"New York, NY",1875 May 29,Drawer,Mixed materials,Billheads Pre-1880,Folder,NYC 1087,doc_bhe_nyc_1087_1r.tif; doc_bhe_nyc_1087_1v.tif,,,,Billheads,"Andrade, Joseph"
ref212,cid4641827,Documents,Billheads,"Andrade, Joseph. New York, NY, Bill for J. Andrade: Importers of ostrich and fancy feathers, and manufacturuers of ostrich and fancy feather dusters","Bill for J. Andrade: Importers of ostrich and fancy feathers, and manufacturuers of ostrich and fancy feather dusters","Andrade, Joseph",,,"New York, NY",1874 January 23,Drawer,Mixed materials,Billheads Pre-1880,Folder,NYC 1058,doc_bhe_nyc_1058_1r.tif; doc_bhe_nyc_1058_1v.tif,,,,Billheads,"Andrade, Joseph"
ref213,cid4641826,Documents,Billheads,"Anglo-Californian Bank. San Francisco, CA, Bill for Bullion and Exchange",Bill for Bullion and Exchange,,,Anglo-Californian Bank,"San Francisco, CA",1896 July 8,Drawer,Mixed materials,Billhead Post-1880,Folder,SF 72,doc_bhl_sf_72_1r.tif; doc_bhl_sf_72_1v.tif,,,,Billheads,
ref214,cid4641825,Documents,Billheads,"Armer, M. and Armer, H. Virginia City, NV, Valentine letter from a Charles to his niece, written on paper with a M. Armer and Co. letterhead","Valentine letter from a Charles to his niece, written on paper with a M. Armer and Co. letterhead","Armer, M.","Armer, H.",,"Virginia City, NV",1883 February 14,Drawer,Mixed materials,Billheads Pre-1880,Folder,NB 972,doc_bhe_nb_972_1r.tif; doc_bhe_nb_972_1v.tif,,,,Billheads,"Armer, M."
ref215,cid4641824,Documents,Billheads,"Asch, Isaac M. Philadelphia, PA",,"Asch, Isaac M.",,,"Philadelphia, PA",1869 November 8,Drawer,Mixed materials,Mickve Israel,Folder,77,doc_ja_phil_mi_77_1r.tif; doc_ja_phil_mi_77_1v.tif,,,,Billheads,"Asch, Isaac M."
ref216,cid4641823,Documents,Billheads,"Ash, Edward and Mish, S. G. San Francisco, CA, Bill for Meyer, Mish and Co","Bill for Meyer, Mish and Co","Ash, Edward","Mish, S. G.",,"San Francisco, CA",1898 July 29,Drawer,Mixed materials,Billheads Post-1880,Folder,SF 96,doc_bhl_sf_96_1r.tif; doc_bhl_sf_96_1v.tif,,,,Billheads,"Ash, Edward"
