Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators,,,,,
ref387,cid4641653,Documents,Billheads,"Dannenbaum, S. Vallejo, CA, Bill for S. Dannenbaum, importers and dealers in dry and fancy goods, ladies' and gents' furnishing goods, carpets, matting, oil cloth, etc","Bill for S. Dannenbaum, importers and dealers in dry and fancy goods, ladies' and gents' furnishing goods, carpets, matting, oil cloth, etc","Dannenbaum, S.",,,"Vallejo, CA",1884 April 10,Drawer,Mixed materials,Billheads Pre-1880,Folder,CA 761,doc_bhe_ca_761_1r.tif; doc_bhe_ca_761_1v.tif,,,,Billheads,"Dannenbaum, S."
ref388,cid4641652,Documents,Billheads,"Davidson, A. J. and Lobenstein, W. C. Helena, MT, Bill for A. J. Davidson, successor to W. C. Lobenstein, dealer in harnessand saddles","Bill for A. J. Davidson, successor to W. C. Lobenstein, dealer in harnessand saddles","Davidson, A. J.","Lobenstein, W. C.",,"Helena, MT",1881 September 1,Folder,Mixed materials,Binder O,Page,9b,lbr_fo_s9b_1r.tif; lbr_fo_s9b_1v.tif,,,,Billheads,"Davidson, A. J."
ref389,cid4641651,Documents,Billheads,"Davis , David and Davis, George. Petersburg, VA, Bill for George Davis and Co",Bill for George Davis and Co,"Davis , David","Davis, George",,"Petersburg, VA",1874 July 27,Drawer,Mixed materials,Billheads Pre-1880,Folder,VA 3045,doc_bhe_va_3045_1r.tif; doc_bhe_va_3045_1v.tif,,,,Billheads,"Davis , David"
ref390,cid4641650,Documents,Billheads,"Davis, Abrahams and Lyon. Petersburg, VA, Bill of sale for slaves from Davis, Abrahams and Lyons","Bill of sale for slaves from Davis, Abrahams and Lyons",,,"Davis, Abrahams and Lyon","Petersburg, VA",1859,Drawer,Mixed materials,Billheads Pre-1880,Folder,VA 3042,doc_bhe_va_3042_1r.tif; doc_bhe_va_3042_1v.tif,,,,Billheads,
ref391,,Documents,Billheads,"Davis, Abrahams and Lyon. Petersburg, VA, Bill to James M.B. Steward from Davis, Abrahams and Lyon","Bill to James M.B. Steward from Davis, Abrahams and Lyon",,,"Davis, Abrahams and Lyon","Petersburg, VA",1859,,,,,,doc_bhe_va_3036_1r.tif; doc_bhe_va_3036_1v.tif; doc_bhe_va_3036_1v.tif_a; doc_bhe_va_3036_1v.tif_b,,,,Billheads,
ref392,cid4641649,Documents,Billheads,"Davis, I. I. Morganton, NC, Bill for I.I. Davis, dealer in staple and fancy dry goods, notions, shoes, and hats","Bill for I.I. Davis, dealer in staple and fancy dry goods, notions, shoes, and hats","Davis, I. I.",,,"Morganton, NC",1892 May 24,Drawer,Mixed materials,Billheads Post-1880,Folder,NC 711,doc_bhl_nc_711_1r.tif; doc_bhl_nc_711_1v.tif,,,,Billheads,"Davis, I. I."
ref393,cid4641648,Documents,Billheads,"De Young, M. Philadelphia, PA, Bill for M. De Young, importers of French, English, and German fancy goods and manufacturers of shell, horn combs, stocks, and caps of every description. This is the earliest example of a Jewish merchant with an illustrated billhead","Bill for M. De Young, importers of French, English, and German fancy goods and manufacturers of shell, horn combs, stocks, and caps of every description. This is the earliest example of a Jewish merchant with an illustrated billhead","De Young, M.",,,"Philadelphia, PA",1834 February 8,Drawer,Mixed materials,Billheads Pre-1880,Folder,PA 2056,doc_bhe_ph_2056_1r.tif; doc_bhe_ph_2056_1v.tif,,,,Billheads,"De Young, M."
ref394,cid4641647,Documents,Billheads,"Delashmutt, A. J. Frederick, MD",,"Delashmutt, A. J.",,,"Frederick, MD",1875 November 6,Drawer,Mixed materials,Billheads Pre-1880,Folder,MD 908,doc_bhe_md_908_1r.tif; doc_bhe_md_908_1v.tif,,,,Billheads,"Delashmutt, A. J."
ref395,cid4641646,Documents,Billheads,"DeSilver, Charles. Philadelphia, PA, Billhead from Charles Desilver to the Hebrew Education Society",Billhead from Charles Desilver to the Hebrew Education Society,"DeSilver, Charles",,,"Philadelphia, PA",1864 June 4,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 94,doc_ja_phil_94_1r.tif; doc_ja_phil_94_1v.tif,,,,Billheads,"DeSilver, Charles"
ref396,cid4641645,Documents,Billheads,"DeSilver, Charles. Philadelphia, PA, Billhead from Charles Desilver to the Hebrew Education Society",Billhead from Charles Desilver to the Hebrew Education Society,"DeSilver, Charles",,,"Philadelphia, PA",1863 October 16,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 93,doc_ja_phil_93_1r.tif; doc_ja_phil_93_1v.tif,,,,Billheads,"DeSilver, Charles"
ref397,cid4641644,Documents,Billheads,"DeSilver, Charles. Philadelphia, PA, Billhead from Charles Desilver to the Hebrew Education Society",Billhead from Charles Desilver to the Hebrew Education Society,"DeSilver, Charles",,,"Philadelphia, PA",1862 December 10,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 92,doc_ja_phil_92_1r.tif; doc_ja_phil_92_1v.tif,,,,Billheads,"DeSilver, Charles"
ref398,cid4641643,Documents,Billheads,"DeSilver, Charles. Philadelphia, PA, Billhead from Charles Desilver to the Hebrew Education Society",Billhead from Charles Desilver to the Hebrew Education Society,"DeSilver, Charles",,,"Philadelphia, PA",1862 September 3,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 91,doc_ja_phil_91_1r.tif; doc_ja_phil_91_1v.tif,,,,Billheads,"DeSilver, Charles"
ref399,cid4641642,Documents,Billheads,"Deutsch, Louis. Sedalia, MO, Bill for Louis Deutsch with lithograph of the store ""Louis Deutsche Wine Hall.""","Bill for Louis Deutsch with lithograph of the store ""Louis Deutsche Wine Hall.""","Deutsch, Louis",,,"Sedalia, MO",1881 June 1,Drawer,Mixed materials,Billheads Pre-1880,Folder,MO 949,doc_bhe_mo_949_1r.tif; doc_bhe_mo_949_1v.tif,,,,Billheads,"Deutsch, Louis"
ref400,cid4641641,Documents,Billheads,"Deutsch, S. and Frank, S. San Antonio, TX",,"Deutsch, S.","Frank, S.",,"San Antonio, TX",1887 December 4,Drawer,Mixed materials,Billheads Pre-1880,Folder,TX 3012,doc_bhe_tx_3012_1r.tif; doc_bhe_tx_3012_1v.tif,,,,Billheads,"Deutsch, S."
ref401,cid4641640,Documents,Billheads,"Deutsch. New York, NY, Bill for Deutsch and Lewis, men's furnishings","Bill for Deutsch and Lewis, men's furnishings",Deutsch,,,"New York, NY",1868 May 6,Drawer,Mixed materials,Billheads Pre-1880,Folder,NYC 1076,doc_bhe_nyc_1076_1r.tif; doc_bhe_nyc_1076_1v.tif,,,,Billheads,Deutsch
ref402,cid4641639,Documents,Billheads,"Dinkelspiel, Rothfeld and Co. San Francisco, CA, Bill for l. Dinkelspiel and Co",Bill for l. Dinkelspiel and Co,,,"Dinkelspiel, Rothfeld and Co.","San Francisco, CA",1872 May 6,Drawer,Mixed materials,Billheads Pre-1880,Folder,SF 854,doc_bhe_sf_854_1r.tif; doc_bhe_sf_854_1v.tif,,,,Billheads,
ref403,cid4641638,Documents,Billheads,"Dinkelspiel and Schoenfeld, Salomen D. San Francisco, CA, Bill made out to Salomen D. Schoenfeld and Brother in Red Bluff, California","Bill made out to Salomen D. Schoenfeld and Brother in Red Bluff, California",Dinkelspiel,"Schoenfeld, Salomen D.",,"San Francisco, CA",1877 August 6,Drawer,Mixed materials,Judaica Americana,Folder,CA 326,doc_ja_ca_326_1r.tif; doc_ja_ca_326_1v.tif,,,,Billheads,Dinkelspiel
ref404,cid4641637,Documents,Billheads,"Dinkelspiel. Birds Landing, CA, Bill from Holbrook of a large purchase of hardware by Dinkelspiel",Bill from Holbrook of a large purchase of hardware by Dinkelspiel,Dinkelspiel,,,"Birds Landing, CA",1882 December 13,Drawer,Mixed materials,Billheads Pre-1880,Folder,TX 2098,doc_bhe_tx_2098_1r.tif; doc_bhe_tx_2098_1v.tif,,,,Billheads,Dinkelspiel
ref405,cid4641636,Documents,Billheads,"Drachman, Harry A. Tucson, AZ, Bill for Harry A. Drachman Shoe Co",Bill for Harry A. Drachman Shoe Co,"Drachman, Harry A.",,,"Tucson, AZ",1905 June 1,Folder,Mixed materials,Binder K,Page,50a50d,lbr_fk_s50b_1r.tif; lbr_fk_s50b_1v.tif; lbr_fk_s50a_1r.tif; lbr_fk_s50a_1v.tif; lbr_fk_s50c_1r.tif; lbr_fk_s50c_1v.tif; lbr_fk_s50d_1r.tif; lbr_fk_s50d_1v.tif,,,,Billheads,"Drachman, Harry A."
ref406,cid4641635,Documents,Billheads,"Drachman, Harry A. Tucson, AZ, Receipt for shoes",Receipt for shoes,"Drachman, Harry A.",,,"Tucson, AZ",1905,Folder,Mixed materials,Binder K,Page,50a,lbr_fk_s50a_1r.tif; lbr_fk_s50a_1v.tif,,,,Billheads,"Drachman, Harry A."
ref407,cid4641634,Documents,Billheads,"Dreyer, L. and Isaac, M. Thomasville, GA, Bill for Dreyer and Isaac, wholesale and retail dealers in groceries and provisions","Bill for Dreyer and Isaac, wholesale and retail dealers in groceries and provisions","Dreyer, L.","Isaac, M.",,"Thomasville, GA",1872 January 17,Drawer,Mixed materials,Billheads Pre-1880,Folder,CT 864,doc_bhe_ct_864_1r.tif; doc_bhe_ct_864_1v.tif,,,,Billheads,"Dreyer, L."
ref408,cid4641633,Documents,Billheads,"Dreyfus, Nathan A. New York, NY, Billhead with lithograph of Dreyfus's self acting lubricator patent",Billhead with lithograph of Dreyfus's self acting lubricator patent,"Dreyfus, Nathan A.",,,"New York, NY",1869 March 6,Drawer,Mixed materials,Judaica Americana,Folder,NYC 812,doc_ja_nyc_812_1r.tif; doc_ja_nyc_812_1v.tif,,,,Billheads,"Dreyfus, Nathan A."
ref409,cid4641632,Documents,Billheads,"Dreyfus, Nathan A. New York, NY, Billhead with lithograph of Dreyfus's self acting lubricator patent",Billhead with lithograph of Dreyfus's self acting lubricator patent,"Dreyfus, Nathan A.",,,"New York, NY",1874 August 12,Drawer,Mixed materials,Billheads Pre-1880,Folder,NYC 1075,doc_bhe_nyc_1075_1r.tif; doc_bhe_nyc_1075_1v.tif,,,,Billheads,"Dreyfus, Nathan A."
ref410,cid4641631,Documents,Billheads,"E. C. Pollard. Mobile, AL, Bill for hats",Bill for hats,,,E. C. Pollard,"Mobile, AL",1856 March 18,Drawer,Mixed materials,Billhead Pre-1880,Folder,AL 731,doc_bhe_al_731_1r.tif; doc_bhe_al_731_1v.tif,,,,Billheads,
ref411,cid4641630,Documents,Billheads,"E. Kleinmann & Co. New York, NY, Bill for Townsend Young's Son",Bill for Townsend Young's Son,,,E. Kleinmann & Co.,"New York, NY",1896,Drawer,Mixed materials,Billhead Post-1880,Folder,NYC 566,doc_bhl_nyc_566_1r.tif; doc_bhl_nyc_566_1v.tif,,,,Billheads,
ref412,cid4641629,Documents,Billheads,"E. Marks. Troy, NY, Receipt for watch",Receipt for watch,,,E. Marks,"Troy, NY",1811 November 20,Folder,Mixed materials,Binder K,Page,33b,lbr_fk_s33b_1r.tif; lbr_fk_s33b_1v.tif,,,,Billheads,
ref413,cid4641628,Documents,Billheads,"E. Rothschild and Bros. Chicago, IL, Billhead and envelope from E. Rothschild, and Bros","Billhead and envelope from E. Rothschild, and Bros",,,E. Rothschild and Bros.,"Chicago, IL",1894 October 24,Drawer,Mixed materials,Billheads Post-1880,Folder,IL 203-204,doc_bhl_il_203_1r.tif; doc_bhl_il_203_1v.tif; doc_bhl_il_204_1r.tif; doc_bhl_il_204_1v.tif,,,,Billheads,
ref414,cid4641627,Documents,Billheads,"E. Sauerwein. IA, Bill for Congregation B'Nai Israel",Bill for Congregation B'Nai Israel,,,E. Sauerwein,IA,undated,Drawer,Mixed materials,Judaica Americana,Folder,IA 92,doc_ja_ia_92_1r.tif; doc_ja_ia_92_1v.tif,,,,Billheads,
ref415,cid4641626,Documents,Billheads,"Eckstein, M. L. New York, NY, Billhead from M. L. Eckstein",Billhead from M. L. Eckstein,"Eckstein, M. L.",,,"New York, NY",1911 March 3,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 487,doc_bhl_nyc_487_1r.tif; doc_bhl_nyc_487_1v.tif,,,,Billheads,"Eckstein, M. L."
ref416,cid4641625,Documents,Billheads,"Ehrich & Co. New York, NY, Bill for Ehrich and Co., importers and dealers in all dry goods and publisher of Ehrich's Fashion Quarterly","Bill for Ehrich and Co., importers and dealers in all dry goods and publisher of Ehrich's Fashion Quarterly",,,Ehrich & Co.,"New York, NY",1877 December 18,Drawer,Mixed materials,Billheads Pre-1880,Folder,NYC 1060,doc_bhe_nyc_1060_1r.tif; doc_bhe_nyc_1060_1v.tif; doc_bhe_nyc_1060_2r.tif; doc_bhe_nyc_1060_2v.tif,,,,Billheads,
ref417,cid4641624,Documents,Billheads,"Ehrich & Co. New York, NY, Bill for Ehrich and Co., publisher of Ehrich's Fashion Quarterly","Bill for Ehrich and Co., publisher of Ehrich's Fashion Quarterly",,,Ehrich & Co.,"New York, NY",1877 December 1,Drawer,Mixed materials,Billheads Pre-1880,Folder,NYC 1048,doc_bhe_nyc_1048_1r.tif; doc_bhe_nyc_1048_1v.tif,,,,Billheads,
ref418,cid4641623,Documents,Billheads,"Einstein Brothers. Cleveland, OH, Bill for Einstein Brothers, burbon whiskies","Bill for Einstein Brothers, burbon whiskies",,,Einstein Brothers,"Cleveland, OH",1882 February 20,Drawer,Mixed materials,Billheads Post-1880,Folder,OH 732,doc_bhl_oh_732_1r.tif; doc_bhl_oh_732_1v.tif,,,,Billheads,
ref419,cid4641622,Documents,Billheads,"Einstein, Hirsch and Co. Uniontown, AL, Bill reflecting purchases over the year 1872 from the firm of Einstein, Hirsch, and Co","Bill reflecting purchases over the year 1872 from the firm of Einstein, Hirsch, and Co",,,"Einstein, Hirsch and Co.","Uniontown, AL",1872 October 1,Drawer,Mixed materials,Billheads Pre-1880,Folder,AL 722,doc_bhe_al_722_1r.tif; doc_bhe_al_722_1v.tif,,,,Billheads,
ref420,cid4641621,Documents,Billheads,"Einstein, Louis. Fresno, CA, Bill for Louis Einstein, plows, mowers, rakes, carpets, wall paper, shades and lace curtains","Bill for Louis Einstein, plows, mowers, rakes, carpets, wall paper, shades and lace curtains","Einstein, Louis",,,"Fresno, CA",1890 May 1,Drawer,Mixed materials,Billheads Post-1880,Folder,CA 48,doc_bhl_ca_48_1r.tif; doc_bhl_ca_48_1v.tif,,,,Billheads,"Einstein, Louis"
ref421,cid4641620,Documents,Billheads,"Eiseman, M. Fayette, MS, Bill originally printed for M. Eiseman but with the name crossed out and V. Meyer and Co. written over it. It is signed by S. Lehmann",Bill originally printed for M. Eiseman but with the name crossed out and V. Meyer and Co. written over it. It is signed by S. Lehmann,"Eiseman, M.",,,"Fayette, MS",1865 July 1,Drawer,Mixed materials,Billheads Pre-1880,Folder,MS 934,doc_bhe_ms_934_1r.tif; doc_bhe_ms_934_1v.tif,,,,Billheads,"Eiseman, M."
ref422,cid4641619,Documents,Billheads,"Elfelt, A. B. and Levi. San Francisco, CA, Letter to Fort Brioger, from Elfelt, a partner in the New York City firm of Elfelt, Levi and Co., regarding a bad debt","Letter to Fort Brioger, from Elfelt, a partner in the New York City firm of Elfelt, Levi and Co., regarding a bad debt","Elfelt, A. B.",Levi,,"San Francisco, CA",1875 October 27,Drawer,Mixed materials,Billheads Pre-1880,Folder,SF 842,doc_bhe_sf_842_1r.tif; doc_bhe_sf_842_1v.tif,,,,Billheads,"Elfelt, A. B."
ref423,cid4641618,Documents,Billheads,"Elias & Cohen. Charlotte, NC, Bill for A.H. Twichell",Bill for A.H. Twichell,,,Elias & Cohen,"Charlotte, NC",1888 April 18,Drawer,Mixed materials,Billhead Post-1880,Folder,NC 707,doc_bhl_nc_707_1r.tif; doc_bhl_nc_707_1v.tif,,,,Billheads,
ref424,cid4641617,Documents,Billheads,"Elias & Cohen. Charlotte, NC, Bill for A.H. Twichell",Bill for A.H. Twichell,,,Elias & Cohen,"Charlotte, NC",1889 December 10,Drawer,Mixed materials,Billhead Post-1880,Folder,NC 708,doc_bhl_nc_708_1r.tif; doc_bhl_nc_708_1v.tif,,,,Billheads,
ref425,cid4641616,Documents,Billheads,"Elias & Cohen. Charlotte, NC, Bill for A.H. Twichell",Bill for A.H. Twichell,,,Elias & Cohen,"Charlotte, NC",1888 January 24,Drawer,Mixed materials,Billhead Post-1880,Folder,NC 709,doc_bhl_nc_709_1r.tif; doc_bhl_nc_709_1v.tif,,,,Billheads,
ref426,cid4641615,Documents,Billheads,"Elias and Cohen. Charlotte, NC, Billhead from Elias and Cohen",Billhead from Elias and Cohen,,,Elias and Cohen,"Charlotte, NC",1888 May 24,Drawer,Mixed materials,Billheads Post-1880,Folder,NC 706,doc_bhl_nc_706_1r.tif; doc_bhl_nc_706_1v.tif,,,,Billheads,
ref427,cid4641614,Documents,Billheads,"Elias and Cohen. Charlotte, NC, Billhead from Elias and Cohen",Billhead from Elias and Cohen,,,Elias and Cohen,"Charlotte, NC",1887 November 28,Drawer,Mixed materials,Billheads Post-1880,Folder,NC 705,doc_bhl_nc_705_1r.tif; doc_bhl_nc_705_1v.tif,,,,Billheads,
ref428,cid4641613,Documents,Billheads,"Elkus, L. Sacramento, CA, Billhead from L. Elkus with a vignette of a steamer and a yellow revenue stamp",Billhead from L. Elkus with a vignette of a steamer and a yellow revenue stamp,"Elkus, L.",,,"Sacramento, CA",1867 July 12,Drawer,Mixed materials,Billheads Pre-1880,Folder,CA 757,doc_bhe_ca_757_1r.tif; doc_bhe_ca_757_1v.tif,,,,Billheads,"Elkus, L."
ref429,cid4641612,Documents,Billheads,"Engle, Samuel. New York, NY, Bill for Samuel Engle, dealers in poultry, fruit, and vegetable","Bill for Samuel Engle, dealers in poultry, fruit, and vegetable","Engle, Samuel",,,"New York, NY",1881 November 30,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 469,doc_bhl_nyc_469_1r.tif; doc_bhl_nyc_469_1v.tif,,,,Billheads,"Engle, Samuel"
ref430,cid4641611,Documents,Billheads,"Eppenstein, M. C. Chicago, IL",,"Eppenstein, M. C.",,,"Chicago, IL",1885 August 13,Folder,Mixed materials,Binder K,Page,39a,lbr_fk_s39a_1r.tif; lbr_fk_s39a_1v.tif,,,,Billheads,"Eppenstein, M. C."
ref431,cid4641610,Documents,Billheads,"Epstein, Jacob. Baltimore, MD, Bill for the Baltimore Bargain House",Bill for the Baltimore Bargain House,"Epstein, Jacob",,,"Baltimore, MD",1899 March 22,Drawer,Mixed materials,Billheads Post-1880,Folder,MD 293,doc_bhl_md_293_1r.tif; doc_bhl_md_293_1v.tif,,,,Billheads,"Epstein, Jacob"
ref432,cid4641609,Documents,Billheads,"Epstein, Jacob. Baltimore, MD, Bill for the Baltimore Bargain House",Bill for the Baltimore Bargain House,"Epstein, Jacob",,,"Baltimore, MD",1900 June 15,Drawer,Mixed materials,Billheads Post-1880,Folder,MD 300,doc_bhl_md_300_1r.tif; doc_bhl_md_300_1v.tif; doc_bhl_md_300_2r.tif; doc_bhl_md_300_2v.tif,,,,Billheads,"Epstein, Jacob"
ref433,cid4641608,Documents,Billheads,"Epstein, Jacob. Baltimore, MD, Bill for the Baltimore Bargain House",Bill for the Baltimore Bargain House,"Epstein, Jacob",,,"Baltimore, MD",1898 December 15,Drawer,Mixed materials,Billheads Post-1880,Folder,MD 299,doc_bhl_md_299_1r.tif; doc_bhl_md_299_1v.tif; doc_bhl_md_299_2r.tif; doc_bhl_md_299_2v,,,,Billheads,"Epstein, Jacob"
ref434,cid4641607,Documents,Billheads,"Epstein, Jacob. Baltimore, MD, Bill for the Baltimore Bargain House",Bill for the Baltimore Bargain House,"Epstein, Jacob",,,"Baltimore, MD",1902 June 26,Folder,Mixed materials,Binder K,Page,65,lbr_fk_s65_2r.tif; lbr_fk_s65_2v.tif,,,,Billheads,"Epstein, Jacob"
ref435,cid4641606,Documents,Billheads,"Epstein, Jacob. Baltimore, MD, Bill for the Baltimore Bargain House",Bill for the Baltimore Bargain House,"Epstein, Jacob",,,"Baltimore, MD",1902 June 25,Folder,Mixed materials,Binder K,Page,28,lbr_fk_s28_1r.tif; lbr_fk_s28_1v.tif,,,,Billheads,"Epstein, Jacob"
ref436,cid4641605,Documents,Billheads,"Esbeig and Bachman. San Francisco, CA, Bill from Esbeig and Bachman,importers of cigars and tobacco","Bill from Esbeig and Bachman,importers of cigars and tobacco",,,Esbeig and Bachman,"San Francisco, CA",1877 August 7,Drawer,Mixed materials,Billheads Pre-1880,Folder,SF 769,doc_bhe_sf_769_1r.tif; doc_bhe_sf_769_1v.tif,,,,Billheads,
ref437,cid4641604,Documents,Billheads,"F. Berg & Co. Orange Valley, NJ, Bill for Townsend Young's Son",Bill for Townsend Young's Son,,,F. Berg & Co.,"Orange Valley, NJ",1896 February 18,Drawer,Mixed materials,Billhead Post-1880,Folder,NYC 431,doc_bhl_nyc_431_1r.tif; doc_bhl_nyc_431_1v.tif,,,,Billheads,
ref438,cid4641603,Documents,Billheads,"F. Silberman & Bros. Chicago, IL, Billhead from Silberman Bros with full letter to Farr Alpaca Co., Wool, Hides, Fur, Pelts and etc. with vingette of their store","Billhead from Silberman Bros with full letter to Farr Alpaca Co., Wool, Hides, Fur, Pelts and etc. with vingette of their store",,,F. Silberman & Bros.,"Chicago, IL",1884 June 27,Folder,Mixed materials,Binder K,Page,23,lbr_fk_s23_1r.tif; lbr_fk_s23_1v.tif,,,,Billheads,
ref439,cid4641602,Documents,Billheads,"Faber, G. W. New York, NY",,"Faber, G. W.",,,"New York, NY",1870 September 14,Drawer,Mixed materials,Billheads Pre-1880,Folder,NYC 1029,doc_bhe_nyc_1029_1r.tif; doc_bhe_nyc_1029_1v.tif,,,,Billheads,"Faber, G. W."
ref440,cid4641601,Documents,Billheads,"Faber, G. W. New York, NY",,"Faber, G. W.",,,"New York, NY",1870 August 22,Drawer,Mixed materials,Billheads Pre-1880,Folder,NYC 1030,doc_bhe_nyc_1030_1r.tif; doc_bhe_nyc_1030_1v.tif,,,,Billheads,"Faber, G. W."
ref441,cid4641600,Documents,Billheads,"Falk, A. and Meyer, William. New York, NY",,"Falk, A.","Meyer, William",,"New York, NY",1892 April 18,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 605,doc_bhl_nyc_605_1r.tif; doc_bhl_nyc_605_1v.tif,,,,Billheads,"Falk, A."
ref442,cid4641599,Documents,Billheads,"Falk, David and Falk, Nathan. Boise, Idaho, Bill from D. Falk and Brother, importers and dealers in general merchandise, to Judge W.C. Whitson","Bill from D. Falk and Brother, importers and dealers in general merchandise, to Judge W.C. Whitson","Falk, David","Falk, Nathan",,"Boise, Idaho",1874,Drawer,Mixed materials,Billheads Pre-1880,Folder,ID 873,doc_bhe_id_873_1r.tif; doc_bhe_id_873_1v.tif,,,,Billheads,"Falk, David"
ref443,cid4641598,Documents,Billheads,"Fechheimer, Karpeles and Co. Cincinnati, OH, Bill from Fechheimer, Karpeles, and Co. for musical instruments and strings","Bill from Fechheimer, Karpeles, and Co. for musical instruments and strings",,,"Fechheimer, Karpeles and Co.","Cincinnati, OH",1875 May 13,Drawer,Mixed materials,Billheads Pre-1880,Folder,OH 2011,doc_bhe_oh_2011_1r.tif; doc_bhe_oh_2011_1v.tif,,,,Billheads,
ref444,cid4641597,Documents,Billheads,"Fechheimer, Marcus and Fechheimer, L. S. Cincinnati, OH",,"Fechheimer, Marcus","Fechheimer, L. S.",,"Cincinnati, OH",1883 May 1,Drawer,Mixed materials,Leeser,Folder,Philadelphia,doc_bhl_oh_748_1r.tif; doc_bhl_oh_748_1v.tif,,,,Billheads,"Fechheimer, Marcus"
ref445,cid4641596,Documents,Billheads,"Feigenbaum and Schwartzschild. San Francisco, CA, Billhead from Feigenbaum and Co., toys, fancy goods, notions, cutlery, fancy baskets, children's carriages, hobby horses, feather dusters, musical instruments, etc, for items sold to S. L. Schoenfeld Bros","Billhead from Feigenbaum and Co., toys, fancy goods, notions, cutlery, fancy baskets, children's carriages, hobby horses, feather dusters, musical instruments, etc, for items sold to S. L. Schoenfeld Bros",Feigenbaum,Schwartzschild,,"San Francisco, CA",1877 June 20,Drawer,Mixed materials,Billheads Pre-1880,Folder,SF 800,doc_bhe_sf_800_1r.tif; doc_bhe_sf_800_1v.tif,,,,Billheads,Feigenbaum
ref446,cid4641595,Documents,Billheads,"Feiss, Leopold and Krohn, Moses. Cincinnati, OH, Invoice to R. Halliday from Krohn, Feiss and Co","Invoice to R. Halliday from Krohn, Feiss and Co","Feiss, Leopold","Krohn, Moses",,"Cincinnati, OH",1896 March 30,Drawer,Mixed materials,Billheads Post-1880,Folder,OH 733,doc_bhl_oh_733_1r.tif; doc_bhl_oh_733_1v.tif,,,,Billheads,"Feiss, Leopold"
ref447,cid4641594,Documents,Billheads,"Feiss, Leopold and Krohn, Moses. Cincinnati, OH, Invoice to R. Halliday from Krohn, Feiss and Co","Invoice to R. Halliday from Krohn, Feiss and Co","Feiss, Leopold","Krohn, Moses",,"Cincinnati, OH",1893 January 12,Drawer,Mixed materials,Billheads Post-1880,Folder,OH 734,doc_bhl_oh_734_1r.tif; doc_bhl_oh_734_1v.tif,,,,Billheads,"Feiss, Leopold"
ref448,cid4641593,Documents,Billheads,"Feiss, Leopold and Krohn, Moses. Cincinnati, OH, Invoice to R. Halliday from Krohn, Feiss and Co","Invoice to R. Halliday from Krohn, Feiss and Co","Feiss, Leopold","Krohn, Moses",,"Cincinnati, OH",1891 March 7,Drawer,Mixed materials,Billheads Post-1880,Folder,OH 740,doc_bhl_oh_740_1r.tif; doc_bhl_oh_740_1v.tif,,,,Billheads,"Feiss, Leopold"
ref449,cid4641592,Documents,Billheads,"Feldberg, J. Helena, MT, Bill for J. Feldberg, dealers in clothing","Bill for J. Feldberg, dealers in clothing","Feldberg, J.",,,"Helena, MT",1873 September 29,Folder,Mixed materials,Binder O,Page,10b,lbr_fo_s10b_1r.tif; lbr_fo_s10b_1v.tif,,,,Billheads,"Feldberg, J."
ref450,cid4641591,Documents,Billheads,"Feldberg, J. Helena, MT, Bill for J. Feldberg, dealers in clothing","Bill for J. Feldberg, dealers in clothing","Feldberg, J.",,,"Helena, MT",1874 August 31,Folder,Mixed materials,Binder O,Page,10c,lbr_fo_s10c_1r.tif; lbr_fo_s10c_1v.tif,,,,Billheads,"Feldberg, J."
ref451,cid4641590,Documents,Billheads,"Feldberg, J. Helena, MT, Bill for J. Feldberg, dealers in clothing","Bill for J. Feldberg, dealers in clothing","Feldberg, J.",,,"Helena, MT",1874 August 24,Folder,Mixed materials,Binder O,Page,10a,lbr_fo_s10a_1r.tif; lbr_fo_s10a_1v.tif,,,,Billheads,"Feldberg, J."
ref452,cid4641589,Documents,Billheads,"Feldberg, J. Helena, MT, Bill for J. Feldberg, dealers in clothing","Bill for J. Feldberg, dealers in clothing","Feldberg, J.",,,"Helena, MT",1873 November 3,Folder,Mixed materials,Binder O,Page,12b,lbr_fo_s12b_1r.tif; lbr_fo_s12b_1v.tif,,,,Billheads,"Feldberg, J."
ref453,cid4641588,Documents,Billheads,"Feldberg, J. Helena, MT, Bill for J. Feldberg, dealers in clothing","Bill for J. Feldberg, dealers in clothing","Feldberg, J.",,,"Helena, MT",1874 January 4,Folder,Mixed materials,Binder O,Page,12a,lbr_fo_s12a_1r.tif; lbr_fo_s12a_1v.tif,,,,Billheads,"Feldberg, J."
ref454,cid4641587,Documents,Billheads,"Feldmann, B. and Teskey, R. Charleston, SC",,"Feldmann, B.","Teskey, R.",,"Charleston, SC",1888 March 23,Drawer,Mixed materials,Billheads Post-1880,Folder,SC 836,doc_bhl_sc_836_1r.tif; doc_bhl_sc_836_1v.tif,,,,Billheads,"Feldmann, B."
